Tipo,Matéria,Assunto,Questões Encontradas,Percentual (%),Freq. Acumulada,Questões no Caderno
ASSUNTO,Língua Portuguesa (Português),Funções Sintáticas dos Pronomes Relativos,3,0.05%,97.25%,0
ASSUNTO,Língua Portuguesa (Português),"Fatos da Língua Portuguesa (Porque, Por Que, Porquê e Por Quê; Onde, Aonde e Donde; Há e A, etc)",2,0.04%,97.46%,0
ASSUNTO,Língua Portuguesa (Português),Uso do Hífen,2,0.04%,97.67%,0
ASSUNTO,Língua Portuguesa (Português),"Fonética (Fonemas, Dígrafos, Encontros Consonantais, Vocálicos). Separação Silábica",2,0.04%,97.88%,0
ASSUNTO,Língua Portuguesa (Português),Artigo,2,0.04%,98.10%,0
ASSUNTO,Língua Portuguesa (Português),Questões Variadas de Classe de Palavras,2,0.04%,98.31%,0
ASSUNTO,Língua Portuguesa (Português),"Termos Acessórios (Adjunto Adnominal, Adjunto Adverbial e Aposto). Vocativo",2,0.04%,98.52%,0
ASSUNTO,Língua Portuguesa (Português),Orações Coordenadas,2,0.04%,98.73%,0
ASSUNTO,Língua Portuguesa (Português),Orações Subordinadas Substantivas,2,0.04%,98.94%,0
ASSUNTO,Língua Portuguesa (Português),Vozes (Voz Passiva e Voz Ativa),2,0.04%,99.15%,0
ASSUNTO,Língua Portuguesa (Português),"Vícios de Linguagem (Pleonasmo, Ambiguidade, Cacofonia, etc.)",2,0.04%,99.37%,0
ASSUNTO,Língua Portuguesa (Português),Pronomes Pessoais,1,0.02%,99.47%,0
ASSUNTO,Língua Portuguesa (Português),Pronomes de Tratamento,1,0.02%,99.58%,0
ASSUNTO,Língua Portuguesa (Português),Pronomes Demonstrativos,1,0.02%,99.68%,0
ASSUNTO,Língua Portuguesa (Português),"Frase, Oração e Período",1,0.02%,99.79%,0
ASSUNTO,Língua Portuguesa (Português),"Variações da Linguagem: Não Verbal, Regional, Histórica, Contextual. Neologismos e Estrangeirismos",1,0.02%,99.89%,0
ASSUNTO,Língua Portuguesa (Português),"Vocábulo ""Como""",1,0.02%,100.00%,0
MATÉRIA,Língua Inglesa (Inglês),,666,11.68%,,666
ASSUNTO,Língua Inglesa (Inglês),Interpretação de Textos (Understanding),455,7.98%,68.32%,0
ASSUNTO,Língua Inglesa (Inglês),Substituição de Palavras e Reescrita de Frases (Inglês),96,1.68%,82.73%,0
ASSUNTO,Língua Inglesa (Inglês),"Significado de Palavras e Expressões (Sinônimos, Antônimos, Parônimos, Denotação, Conotação etc.)",74,1.30%,93.84%,0
ASSUNTO,Língua Inglesa (Inglês),"Referenciação, Anáfora e Catáfora (Língua Inglesa)",17,0.30%,96.40%,0
ASSUNTO,Língua Inglesa (Inglês),Preposições (Prepositions),5,0.09%,97.15%,0
ASSUNTO,Língua Inglesa (Inglês),Verbos (Verbs),4,0.07%,97.75%,0
ASSUNTO,Língua Inglesa (Inglês),Advérbios (Adverbs),4,0.07%,98.35%,0
ASSUNTO,Língua Inglesa (Inglês),"Substantivos (Nouns, Plural, Quantifiers)",2,0.04%,98.65%,0
ASSUNTO,Língua Inglesa (Inglês),Pronomes (Pronouns),2,0.04%,98.95%,0
ASSUNTO,Língua Inglesa (Inglês),Formação e Estrutura das Palavras (Inglês),1,0.02%,99.10%,0
ASSUNTO,Língua Inglesa (Inglês),Artigo (Articles),1,0.02%,99.25%,0
ASSUNTO,Língua Inglesa (Inglês),Grau Comparativo e Superlativo dos Adjetivos (Inglês),1,0.02%,99.40%,0
ASSUNTO,Língua Inglesa (Inglês),Análise Sintática (Syntax Parsing),1,0.02%,99.55%,0
ASSUNTO,Língua Inglesa (Inglês),Voz Ativa e Passiva (Active and Passive Voice),1,0.02%,99.70%,0
ASSUNTO,Língua Inglesa (Inglês),Pontuação (Punctuation),1,0.02%,99.85%,0
ASSUNTO,Língua Inglesa (Inglês),Tradução (Translation),1,0.02%,100.00%,0
MATÉRIA,Relações Internacionais e Comércio Internacional,,623,10.93%,,623
ASSUNTO,Relações Internacionais e Comércio Internacional,Política Externa Brasileira,204,3.58%,32.74%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Educação no Exterior,44,0.77%,39.81%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Integração Regional nas Américas,37,0.65%,45.75%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Teoria das Relações Internacionais,29,0.51%,50.40%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,"Desenvolvimento, Sustentabilidade, Democracia e Direitos Humanos",26,0.46%,54.57%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,MERCOSUL (Comércio Internacional),24,0.42%,58.43%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Instituições e Processo Decisório em Política Externa,21,0.37%,61.80%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Conselho de Segurança da ONU,21,0.37%,65.17%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Descolonização e Terceiro Mundo: Conflitos Pós-coloniais e Problemas de Desenvolvimento,18,0.32%,68.06%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,União Europeia (Comércio Internacional),18,0.32%,70.95%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Economia e Finanças Internacionais,18,0.32%,73.84%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,OMC - Estrutura e Funcionamento,15,0.26%,76.24%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Acordos Administrativos pela OMC,14,0.25%,78.49%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Ameaças Internacionais,14,0.25%,80.74%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,África e Ásia,12,0.21%,82.66%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Opinião Pública e Política Externa,8,0.14%,83.95%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Ordem Mundial Bipolar e Guerra Fria,7,0.12%,85.07%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,URSS e Rússia,7,0.12%,86.20%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,A Criação da ONU,6,0.11%,87.16%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,EUA,6,0.11%,88.12%,0
